iter	Logloss
0	0.6088896014
1	0.5432386744
2	0.4936266512
3	0.4554430649
4	0.4302662156
5	0.4065981895
6	0.3874737377
7	0.3696469225
8	0.3539405864
9	0.3416815793
10	0.3317848537
11	0.321444442
12	0.3145713187
13	0.3076041324
14	0.3028712999
15	0.2966689479
16	0.2938349976
17	0.2900286442
18	0.2860402682
19	0.2843160254
20	0.2815200497
21	0.2781970553
22	0.2750398156
23	0.2728926091
24	0.2705895414
25	0.2666638988
26	0.2648218433
27	0.2632307949
28	0.2612883023
29	0.2606351524
30	0.258298097
31	0.2569067911
32	0.2549809354
33	0.2539792945
34	0.2511643192
35	0.249519742
36	0.2477256041
37	0.242958907
38	0.2408115774
39	0.2392027845
40	0.2367693035
41	0.2343163306
42	0.2326277736
43	0.2301531923
44	0.2279300364
45	0.2265300428
46	0.22522362
47	0.2234713207
48	0.2203886275
49	0.2188877782
50	0.2175040524
51	0.2164240995
52	0.2153291832
53	0.2141729118
54	0.2133547209
55	0.2123000681
56	0.212150089
57	0.2120422684
58	0.2119168018
59	0.2100404387
60	0.2088228614
61	0.206402498
62	0.2047324731
63	0.2039436554
64	0.2031951258
65	0.2018344974
66	0.2011335777
67	0.1997857716
68	0.1989724906
69	0.1988949784
70	0.1984422601
71	0.1982386291
72	0.1972662753
73	0.1956371291
74	0.1947545191
75	0.1940175074
76	0.1919153635
77	0.1910019529
78	0.1900095166
79	0.1892267654
80	0.1888672488
81	0.1878082398
82	0.1873889431
83	0.1864974362
84	0.1853810099
85	0.1839548795
86	0.1831571895
87	0.1821100184
88	0.1802250292
89	0.1796532923
90	0.1790525145
91	0.1779826398
92	0.177624649
93	0.1767283184
94	0.1758500891
95	0.1757708911
96	0.175528141
97	0.1751926077
98	0.1751235863
99	0.1750601516
