iter	Passed	Remaining
0	115	11451
1	118	5818
2	121	3943
3	124	2996
4	128	2437
5	131	2062
6	137	1827
7	140	1621
8	144	1456
9	148	1338
10	152	1229
11	155	1138
12	159	1064
13	162	997
14	165	939
15	168	885
16	172	841
17	175	798
18	178	762
19	182	728
20	185	697
21	188	668
22	191	641
23	194	615
24	197	592
25	200	571
26	203	551
27	207	533
28	211	517
29	215	502
30	218	487
31	222	473
32	226	460
33	232	451
34	236	439
35	241	429
36	245	418
37	248	406
38	252	394
39	256	384
40	259	372
41	262	362
42	265	351
43	268	341
44	271	331
45	274	321
46	276	311
47	279	302
48	282	293
49	284	284
50	287	276
51	290	267
52	293	259
53	295	251
54	298	244
55	300	236
56	302	228
57	305	220
58	307	213
59	309	206
60	312	199
61	314	192
62	317	186
63	319	179
64	321	173
65	324	167
66	326	161
67	329	154
68	331	148
69	333	142
70	335	137
71	337	131
72	339	125
73	341	120
74	343	114
75	346	109
76	348	104
77	350	98
78	352	93
79	354	88
80	356	83
81	358	78
82	360	73
83	362	69
84	364	64
85	366	59
86	368	55
87	371	50
88	373	46
89	375	41
90	377	37
91	379	32
92	381	28
93	383	24
94	386	20
95	388	16
96	390	12
97	392	8
98	394	3
99	396	0
