iter	Logloss
0	0.6491052149
1	0.6092545817
2	0.5763055467
3	0.5483672016
4	0.5264590796
5	0.5029137883
6	0.483051328
7	0.4638399257
8	0.4472600733
9	0.4310970319
10	0.4189745663
11	0.4072998968
12	0.3967202175
13	0.3869504105
14	0.3786363164
15	0.3707121088
16	0.3643635925
17	0.3566014726
18	0.3509192976
19	0.3458346517
20	0.3403764608
21	0.3362417236
22	0.3312827166
23	0.3278831329
24	0.3244182317
25	0.3205233527
26	0.3166461936
27	0.3138516208
28	0.3102459451
29	0.3085703581
30	0.3059113423
31	0.3032036953
32	0.3011843181
33	0.299340466
34	0.297483964
35	0.2943562328
36	0.2923860774
37	0.291380425
38	0.2897422712
39	0.2873935503
40	0.2870298743
41	0.285682302
42	0.2833890295
43	0.2816712594
44	0.2794092182
45	0.278891084
46	0.2775975819
47	0.2767472245
48	0.2750633437
49	0.2735192283
50	0.2725553407
51	0.2715853249
52	0.2699305341
53	0.2689837511
54	0.2680455572
55	0.2671724347
56	0.2653843757
57	0.2640707419
58	0.2632189325
59	0.2619153399
60	0.2609515753
61	0.2601502429
62	0.2590924891
63	0.2574676007
64	0.256688492
65	0.2557987817
66	0.254934593
67	0.2537262448
68	0.2528758136
69	0.2519543552
70	0.2510608056
71	0.2493044455
72	0.2483095234
73	0.2465060579
74	0.2456107856
75	0.2442496526
76	0.2436040091
77	0.2428023322
78	0.2421154899
79	0.2417722903
80	0.24074626
81	0.2399329421
82	0.2392920484
83	0.2383894666
84	0.2366282089
85	0.2361501906
86	0.2352544998
87	0.2351067849
88	0.2339677658
89	0.2333628287
90	0.232860224
91	0.2323566102
92	0.2312795122
93	0.2301495499
94	0.2297199412
95	0.2287234441
96	0.2272336943
97	0.2265596251
98	0.2250459289
99	0.2244275297
