iter	Passed	Remaining
0	106	10571
1	109	5376
2	112	3643
3	115	2762
4	118	2242
5	121	1902
6	125	1660
7	128	1476
8	131	1333
9	134	1214
10	137	1114
11	140	1030
12	143	963
13	147	904
14	150	850
15	153	804
16	156	764
17	159	727
18	163	696
19	166	665
20	169	637
21	172	612
22	175	588
23	178	565
24	182	546
25	185	527
26	188	510
27	191	493
28	194	475
29	197	460
30	200	445
31	203	431
32	206	418
33	209	406
34	213	395
35	216	384
36	219	373
37	223	363
38	226	353
39	229	343
40	233	335
41	236	326
42	239	317
43	242	308
44	245	300
45	248	292
46	252	284
47	254	275
48	257	267
49	259	259
50	262	252
51	265	244
52	267	237
53	270	230
54	273	223
55	276	216
56	278	210
57	280	203
58	283	196
59	285	190
60	288	184
61	290	178
62	293	172
63	295	166
64	297	160
65	300	154
66	302	149
67	304	143
68	307	137
69	309	132
70	311	127
71	314	122
72	316	116
73	318	112
74	320	106
75	323	102
76	325	97
77	327	92
78	329	87
79	332	83
80	334	78
81	336	73
82	338	69
83	340	64
84	343	60
85	345	56
86	347	51
87	349	47
88	351	43
89	354	39
90	356	35
91	358	31
92	360	27
93	363	23
94	365	19
95	367	15
96	370	11
97	372	7
98	374	3
99	376	0
